name,rating,vicinity,user_ratings_total
內湖復育園區,3.9,內湖區潭美街587號,142
附中公園,3.7,大安區,104
台原亞洲偶戲博物館,3.9,大同區西寧北路79-1號,155
美崙公園,4.2,士林區美崙街152巷,2731
中山21號廣場,4.4,中山區,45
萬壽一號公園,3.5,文山區萬壽路61巷,15
志生紀念館,4.4,中山區中山北路三段40號,59
河雙21號河濱公園,4.0,北投區洲美街32-8號,322
白鷺鷥登山步道,4.2,內湖區,1007
建國假日藝文特區,4.0,大安區信義路三段100號之 1 號,637
晴光公園,4.1,中山區雙城街10號之1號,487
康寧公園,3.9,內湖區民權東路六段296巷,303
復盛公園,4.1,松山區八德路四段106巷,128
木新公園,3.9,文山區木新路三段278巷,106
南港北興宮,4.1,南港區成福路272號,69
敦中公園,4.0,松山區,256
麗山橋口步道,3.9,南港區,212
水源市場,4.0,中正區羅斯福路四段92號,4406
剝皮寮歷史街區,4.1,萬華區康定路173巷,10857
石觀音祥光寺,4.1,文山區萬壽路63號,20
長榮海事博物館,4.5,"5樓, No. 11號, 中山南路, 中正区",1291
龍山寺,4.5,萬華區廣州街211號,36222
紫陽公園,4.1,內湖區陽光街55號,331
內湖極限運動公園,4.2,內湖區舊宗路二段2號,1672
中研公園,4.2,南港區研究路2段12巷58弄,1227
舊莊公園(茶香公園),4.0,南港區舊莊街一段91巷,588
保德公園,3.8,萬華區東園街154巷,38
四分河濱公園,4.0,南港區研究院路二段2號,205
南港山縱走親山步道,4.5,南港區,214
三統 漢菓子,4.8,信義區松山路315-5號5號出口 左轉，十字路口過馬路 左轉直行 約3-5分）山西刀削麵旁捷運永春站,801
華聲公園,4.0,士林區文林路661巷2號,462
自來水園區,4.2,中正區思源街1號,1486
永盛公園,3.9,中山區,815
台北市景福宮,4.5,中山區德惠街11號,270
松壽廣場公園,4.1,信義區,905
奇岩一號公園,4.3,北投區磺港路208號,419
花博大佳河濱公園區,4.4,中山區濱江街5號,162
下灣公園,4.1,內湖區成功路二段,124
饒河街觀光夜市,4.2,松山區饒河街,52713
清白公園,4.0,內湖區成功路四段167巷,282
臨濟護國禪寺,4.3,中山區玉門街9號,792
照明淨寺,4.0,北投區崇仰七路51號,101
久康公園,3.8,文山區,283
椰城公園,3.6,"號, No. 21, 和平東路四段101巷6弄, 文山區",32
花博公園美術園區,4.3,中山區中山北路三段181號,4630
蘭興公園,4.2,士林區,119
雙溪河濱公園,4.3,士林區,1655
香堤大道廣場,4.4,信義區松智路松仁、松壽、松高路段之間,3323
防災科學教育館,4.4,內湖區成功路二段376號,1078
臺北市立美術館,4.5,中山區中山北路三段181號,10925
興家公園,3.9,文山區興隆路三段207巷10弄,15
湖元公園,4.0,內湖區民權東路六段120巷,38
清心福全士林劍潭店-珍珠奶茶手搖飲料專賣店,4.0,士林區基河路122號,111
臺北賓館,4.5,中正區凱達格蘭大道1號,1165
湖興公園,3.9,內湖區成功路二段312巷,126
華中河濱公園,4.1,萬華區,4068
民享公園,4.1,中山區,1490
台灣昆蟲館,4.5,大安區和平東路三段406巷8號,1467
天母運動公園,4.4,士林區忠誠路二段七十七號,4689
